DATE,PM2.5,PM10,CO2,HCHO
2023-07-19 00:00:35,16,25,409,0.015
2023-07-19 00:01:35,14,23,409,0.014
2023-07-19 00:02:35,14,22,410,0.014
2023-07-19 00:03:35,16,25,410,0.013
2023-07-19 00:04:35,15,23,411,0.014
2023-07-19 00:05:35,15,24,411,0.014
2023-07-19 00:06:34,15,25,411,0.012
2023-07-19 00:07:35,15,23,411,0.014
2023-07-19 00:08:35,15,23,410,0.013
2023-07-19 00:09:35,14,23,410,0.015
2023-07-19 00:10:35,16,25,411,0.015
2023-07-19 00:11:35,15,24,411,0.015
2023-07-19 00:12:34,15,24,411,0.014
2023-07-19 00:13:35,15,23,411,0.014
2023-07-19 00:14:35,15,23,412,0.013
2023-07-19 00:15:35,15,24,412,0.015
2023-07-19 00:16:35,16,25,412,0.013
2023-07-19 00:17:35,15,24,412,0.013
2023-07-19 00:18:34,15,24,413,0.014
2023-07-19 00:19:35,13,21,413,0.015
2023-07-19 00:20:35,16,25,413,0.013
2023-07-19 00:21:35,15,23,413,0.013
2023-07-19 00:22:35,16,24,413,0.014
2023-07-19 00:23:35,15,24,414,0.014
2023-07-19 00:24:34,15,24,415,0.014
2023-07-19 00:25:35,15,24,414,0.014
2023-07-19 00:26:35,16,25,413,0.013
2023-07-19 00:27:35,16,25,415,0.013
2023-07-19 00:28:35,15,25,415,0.013
2023-07-19 00:29:35,15,25,415,0.013
2023-07-19 00:30:34,15,24,415,0.013
2023-07-19 00:31:35,15,25,415,0.013
2023-07-19 00:32:35,16,23,415,0.013
2023-07-19 00:33:35,15,23,416,0.013
2023-07-19 00:34:35,15,23,416,0.013
2023-07-19 00:35:35,15,24,415,0.013
2023-07-19 00:36:34,16,26,414,0.013
2023-07-19 00:37:35,17,27,415,0.013
2023-07-19 00:38:35,16,26,416,0.013
2023-07-19 00:39:35,15,23,417,0.012
2023-07-19 00:40:35,15,24,417,0.012
2023-07-19 00:41:35,15,24,417,0.013
2023-07-19 00:42:35,15,24,416,0.012
2023-07-19 00:43:35,16,25,416,0.012
2023-07-19 00:44:35,15,25,414,0.012
2023-07-19 00:45:35,16,25,415,0.013
2023-07-19 00:46:35,16,25,417,0.013
2023-07-19 00:47:35,15,22,417,0.013
2023-07-19 00:48:35,15,24,415,0.012
2023-07-19 00:49:35,17,26,415,0.012
2023-07-19 00:50:35,17,26,415,0.011
2023-07-19 00:51:35,16,26,415,0.012
2023-07-19 00:52:35,17,26,415,0.011
2023-07-19 00:53:35,16,25,415,0.012
2023-07-19 00:54:35,15,24,416,0.012
2023-07-19 00:55:35,15,24,417,0.012
2023-07-19 00:56:35,15,24,417,0.012
